COMMUNE_NOM,SEXE,YEAR,POP65PLUS,PERC65PLUS
Ettelbruck,F,2023,932.0,0.9286290764524774
Ettelbruck,F,2024,952.0,0.916795069337442
Ettelbruck,F,2025,967.0,0.909655328115593
Ettelbruck,M,2020,690.0,0.7460265974699967
Ettelbruck,M,2021,685.0,0.72313831471824
Ettelbruck,M,2022,708.0,0.7254321341844524
Ettelbruck,M,2023,727.0,0.7243705349581021
Ettelbruck,M,2024,745.0,0.7174499229583975
Ettelbruck,M,2025,773.0,0.7271598434677905
Feulen,F,2020,146.0,0.1578549032327819
Feulen,F,2021,166.0,0.1752422777273399
Feulen,F,2022,169.0,0.1731610602784921
Feulen,F,2023,174.0,0.1733706644879089
Feulen,F,2024,187.0,0.1800847457627118
Feulen,F,2025,193.0,0.1815547862733293
Feulen,M,2020,150.0,0.1621796951021732
Feulen,M,2021,164.0,0.173130924983637
Feulen,M,2022,168.0,0.1721364386200395
Feulen,M,2023,174.0,0.1733706644879089
Feulen,M,2024,187.0,0.1800847457627118
Feulen,M,2025,189.0,0.1777919927754364
Fischbach,F,2020,57.0,0.0616282841388258
Fischbach,F,2021,55.0,0.0580622004518294
Fischbach,F,2022,63.0,0.0645511644825148
Fischbach,F,2023,67.0,0.0667576696591373
Fischbach,F,2024,68.0,0.0654853620955315
Fischbach,F,2025,71.0,0.0667895845875978
Fischbach,M,2020,45.0,0.0486539085306519
Fischbach,M,2021,50.0,0.0527838185925722
Fischbach,M,2022,58.0,0.0594280561902517
Fischbach,M,2023,59.0,0.0587866046252104
Fischbach,M,2024,67.0,0.0645223420647149
Fischbach,M,2025,77.0,0.072433774834437
Flaxweiler,F,2020,130.0,0.1405557357552167
Flaxweiler,F,2021,134.0,0.1414606338280936
Flaxweiler,F,2022,142.0,0.1454962755002715
Flaxweiler,F,2023,161.0,0.1604176838077777
Flaxweiler,F,2024,171.0,0.1646764252696456
Flaxweiler,F,2025,167.0,0.1570966285370258
Flaxweiler,M,2020,127.0,0.1373121418531733
Flaxweiler,M,2021,134.0,0.1414606338280936
Flaxweiler,M,2022,138.0,0.141397788866461
Flaxweiler,M,2023,135.0,0.1345117224475155
Flaxweiler,M,2024,153.0,0.147342064714946
Flaxweiler,M,2025,166.0,0.1561559301625526
